   20.0000000000  -24.0192379169 -101.6025403713
   20.0000000000  -54.0192379324 -153.5640645893
  140.0000000000  -54.0192379324 -153.5640645893
  140.0000000000  -24.0192379169 -101.6025403713
   20.0000000000  -24.0192379169 -101.6025403713
   20.0000000000   45.2627943739 -141.6025403920
   20.0000000000   15.2627943584 -193.5640646101
   20.0000000000  -54.0192379324 -153.5640645893
   20.0000000000   15.2627943584 -193.5640646101
  140.0000000000   15.2627943584 -193.5640646101
  140.0000000000  -54.0192379324 -153.5640645893
  140.0000000000   15.2627943584 -193.5640646101
  140.0000000000   45.2627943739 -141.6025403920
  140.0000000000  -24.0192379169 -101.6025403713
  140.0000000000   45.2627943739 -141.6025403920
   20.0000000000   45.2627943739 -141.6025403920
